plr_id,plr_name,bez_id,bez_name,pgr_id,pgr_name,bzr_id,bzr_name,svb_vollzeit,median_gross_income,median_rent,cases,average_rent,median_net_income,is_affordable_avg_person,is_affordable_buergergeld,rent_burden_avg_person,rent_burden_buergergeld,population,gap_rent_avg_person,gap_rent_buergergeld
3300516,Heinersdorf,3,Pankow,330,Nördliches Weißensee,33005,Blankenburg/Heinersdorf/Märchenland,1586,4286.0,6.88,48,6.65,3128.78,True,False,0.16747809152872445,0.34994913530010174,8859,140.99964799999998,-0.9820000000000002
3300517,Märchenland,3,Pankow,330,Nördliches Weißensee,33005,Blankenburg/Heinersdorf/Märchenland,2306,4332.0,,,,3162.36,False,False,,,1100,,
3400618,Rosenthal,3,Pankow,340,Südliches Pankow,34006,Schönholz/Wilhelmsruh/Rosenthal,1205,4352.0,6.5,34,6.79,3176.96,True,False,0.15822784810126583,0.3306205493387589,4794,141.37964799999997,-0.6020000000000003
3400619,Wilhelmsruh,3,Pankow,340,Südliches Pankow,34006,Schönholz/Wilhelmsruh/Rosenthal,2789,4320.0,7.4,119,7.51,3153.6,True,False,0.1801363193768257,0.37639877924720244,10607,140.47964799999997,-1.5020000000000007
3400620,Schönholz,3,Pankow,340,Südliches Pankow,34006,Schönholz/Wilhelmsruh/Rosenthal,679,5107.0,6.54,11,6.74,3728.11,True,False,0.15920155793573515,0.3326551373346897,3545,141.33964799999998,-0.6420000000000003
3400721,Florakiez,3,Pankow,340,Südliches Pankow,34007,Pankow Zentrum,3217,4946.0,9.37,222,9.05,3610.58,True,False,0.22809152872444008,0.47660223804679547,11927,138.50964799999997,-3.4719999999999995
3400722,Parkstraße,3,Pankow,340,Südliches Pankow,34007,Pankow Zentrum,892,5273.0,9.0,41,8.92,3849.29,True,False,0.21908471275559882,0.4577822990844354,3902,138.87964799999997,-3.1020000000000003
3400723,Garbátyplatz,3,Pankow,340,Südliches Pankow,34007,Pankow Zentrum,2134,4265.0,7.42,95,7.75,3113.45,True,False,0.18062317429406036,0.37741607324516785,7336,140.459648,-1.5220000000000002
3400724,Wolfshagener Straße,3,Pankow,340,Südliches Pankow,34007,Pankow Zentrum,2095,4032.0,7.44,71,7.74,2943.36,True,False,0.18111002921129504,0.37843336724313326,8210,140.43964799999998,-1.5420000000000007
3400725,Schlosspark,3,Pankow,340,Südliches Pankow,34007,Pankow Zentrum,1754,3755.0,7.74,55,7.84,2741.15,True,False,0.188412852969815,0.3936927772126144,7523,140.13964799999997,-1.8420000000000005
3400826,Tiroler Viertel,3,Pankow,340,Südliches Pankow,34008,Pankow Süd,1918,4171.0,7.39,44,7.47,3044.83,True,False,0.17989289191820837,0.3758901322482197,7143,140.489648,-1.492
3400827,Trelleborger Viertel,3,Pankow,340,Südliches Pankow,34008,Pankow Süd,2853,4420.0,8.06,116,8.3,3226.6,True,False,0.1962025316455696,0.40996948118006105,9651,139.81964799999997,-2.162000000000001
3400828,Spiekermann Straße,3,Pankow,340,Südliches Pankow,34008,Pankow Süd,1555,4378.0,7.5,35,7.71,3195.94,True,False,0.18257059396299902,0.3814852492370295,4852,140.37964799999997,-1.6020000000000003
3400829,Arnold-Zweig-Straße,3,Pankow,340,Südliches Pankow,34008,Pankow Süd,1548,4079.0,8.5,75,8.39,2977.67,True,False,0.20691333982473223,0.4323499491353001,6071,139.37964799999997,-2.6020000000000003
3400830,Kissingenviertel,3,Pankow,340,Südliches Pankow,34008,Pankow Süd,,,7.0,82,7.58,,True,False,0.17039922103213243,0.3560528992878942,9336,140.87964799999997,-1.1020000000000003
3400831,Pankower Tor,3,Pankow,340,Südliches Pankow,34008,Pankow Süd,,,,,,,False,False,,,,,
3500932,Bühringstraße,3,Pankow,350,Südliches Weißensee,35009,Weißensee,1695,3822.0,7.51,70,7.55,2790.06,True,False,0.18281402142161635,0.3819938962360122,6586,140.36964799999998,-1.612
3500933,Weißer See,3,Pankow,350,Südliches Weißensee,35009,Weißensee,1965,4311.0,8.05,118,8.44,3147.03,True,False,0.1959591041869523,0.40946083418107837,7584,139.82964799999996,-2.152000000000001
3500934,Weißenseer Spitze,3,Pankow,350,Südliches Weißensee,35009,Weißensee,3268,4274.0,7.98,172,8.02,3120.02,True,False,0.19425511197663095,0.4059003051881994,10294,139.89964799999998,-2.0820000000000007
3500935,Behaimstraße,3,Pankow,350,Südliches Weißensee,35009,Weißensee,1942,4267.0,7.5,85,7.19,3114.91,True,False,0.18257059396299902,0.3814852492370295,6779,140.37964799999997,-1.6020000000000003
3500936,Komponistenviertel Weißensee,3,Pankow,350,Südliches Weißensee,35009,Weißensee,2653,4250.0,7.77,117,7.78,3102.5,True,False,0.18914313534566699,0.39521871820956256,9961,140.10964799999996,-1.8719999999999999
3501037,Rathaus Weißensee,3,Pankow,350,Südliches Weißensee,35010,Weißensee Ost,2282,3502.0,6.9,114,6.97,2556.46,True,False,0.1679649464459591,0.35096642929806715,8508,140.97964799999997,-1.0020000000000007
