bez_id,pgr_id,plr_id,total,under_6,6-15,15-18,18-27,27-45,45-55,55-65,65_or_more,female,foreigner,year,bzr_id
3,340,3400829,5544.0,317.0,534.0,150.0,427.0,1568.0,733.0,726.0,1089.0,2910.0,625.0,2021,
3,340,3400830,9232.0,513.0,728.0,187.0,735.0,3019.0,1411.0,1226.0,1413.0,4888.0,942.0,2021,
3,340,3400831,,,,,,,,,,,,2021,
3,350,3500932,5834.0,435.0,460.0,122.0,543.0,1683.0,720.0,790.0,1081.0,3034.0,1080.0,2021,
3,350,3500933,7632.0,417.0,709.0,193.0,571.0,2290.0,1061.0,931.0,1460.0,3964.0,863.0,2021,
3,350,3500934,10203.0,750.0,832.0,221.0,809.0,4200.0,1418.0,1024.0,949.0,4948.0,1931.0,2021,
3,350,3500935,6585.0,496.0,637.0,170.0,628.0,2466.0,975.0,670.0,543.0,3216.0,1200.0,2021,
3,350,3500936,9819.0,658.0,1102.0,299.0,795.0,3108.0,1526.0,1122.0,1209.0,5073.0,1432.0,2021,
3,350,3501037,8560.0,506.0,566.0,171.0,745.0,2612.0,995.0,1048.0,1917.0,4369.0,1231.0,2021,
3,350,3501038,7422.0,434.0,655.0,165.0,502.0,1868.0,940.0,1135.0,1723.0,3934.0,826.0,2021,
3,360,3601139,3751.0,238.0,247.0,56.0,379.0,1614.0,493.0,347.0,377.0,1844.0,889.0,2021,
3,360,3601140,5902.0,375.0,480.0,132.0,534.0,2598.0,993.0,448.0,342.0,2837.0,1241.0,2021,
3,360,3601141,6585.0,433.0,506.0,124.0,593.0,2862.0,1033.0,551.0,483.0,3315.0,1538.0,2021,
3,360,3601142,10748.0,654.0,904.0,214.0,961.0,4596.0,1952.0,897.0,570.0,5295.0,2698.0,2021,
3,360,3601243,6987.0,365.0,478.0,105.0,627.0,2990.0,1086.0,662.0,674.0,3495.0,1353.0,2021,
3,360,3601244,7546.0,413.0,509.0,121.0,662.0,2905.0,1279.0,784.0,873.0,3929.0,1340.0,2021,
3,360,3601245,12758.0,684.0,668.0,200.0,1151.0,5253.0,1591.0,1330.0,1881.0,6532.0,2448.0,2021,
3,360,3601346,5875.0,346.0,526.0,169.0,573.0,2238.0,1212.0,537.0,274.0,2908.0,1482.0,2021,
3,360,3601347,9376.0,604.0,903.0,238.0,768.0,3482.0,2018.0,963.0,400.0,4642.0,1949.0,2021,
3,360,3601348,7419.0,454.0,630.0,155.0,618.0,3094.0,1430.0,720.0,318.0,3756.0,1670.0,2021,
3,360,3601449,9890.0,394.0,551.0,161.0,691.0,2185.0,999.0,1177.0,3732.0,5345.0,1239.0,2021,
3,360,3601450,4116.0,409.0,416.0,102.0,450.0,1116.0,422.0,414.0,787.0,2021.0,1561.0,2021,
3,360,3601451,6296.0,366.0,483.0,102.0,544.0,2669.0,942.0,652.0,538.0,3161.0,1378.0,2021,
3,360,3601452,4412.0,283.0,270.0,65.0,444.0,1889.0,523.0,455.0,483.0,2205.0,1143.0,2021,
3,360,3601453,3017.0,286.0,498.0,128.0,156.0,1036.0,532.0,160.0,221.0,1498.0,529.0,2021,
3,370,3701554,11385.0,693.0,1024.0,295.0,1121.0,4303.0,2212.0,1168.0,569.0,5587.0,2883.0,2021,
3,370,3701555,7260.0,454.0,602.0,212.0,626.0,2679.0,1361.0,853.0,473.0,3626.0,1564.0,2021,
3,370,3701556,8636.0,681.0,763.0,232.0,670.0,3249.0,1496.0,921.0,624.0,4267.0,2356.0,2021,
3,370,3701657,3216.0,200.0,247.0,74.0,238.0,1027.0,398.0,390.0,642.0,1604.0,753.0,2021,
3,370,3701658,8395.0,529.0,763.0,214.0,779.0,3324.0,1514.0,827.0,445.0,4220.0,1861.0,2021,
3,370,3701659,9086.0,605.0,825.0,234.0,779.0,3361.0,1621.0,872.0,789.0,4593.0,2014.0,2021,
3,370,3701660,12708.0,787.0,1252.0,432.0,1039.0,4283.0,2478.0,1447.0,990.0,6391.0,2270.0,2021,
4,410,4100101,11396.0,638.0,820.0,234.0,1219.0,3025.0,1430.0,1534.0,2496.0,5732.0,3469.0,2021,
4,410,4100102,7755.0,513.0,805.0,220.0,736.0,1800.0,1017.0,1012.0,1652.0,4109.0,2186.0,2021,
4,420,4200203,1455.0,59.0,128.0,46.0,139.0,264.0,178.0,227.0,414.0,742.0,190.0,2021,
4,420,4200204,2841.0,130.0,161.0,53.0,154.0,556.0,241.0,338.0,1208.0,1512.0,617.0,2021,
4,420,4200205,2477.0,83.0,186.0,66.0,182.0,495.0,399.0,424.0,642.0,1294.0,420.0,2021,
4,420,4200206,2846.0,125.0,281.0,113.0,242.0,393.0,396.0,485.0,811.0,1459.0,356.0,2021,
4,420,4200207,3010.0,110.0,257.0,78.0,674.0,488.0,321.0,396.0,686.0,1491.0,781.0,2021,
4,420,4200308,6141.0,311.0,422.0,129.0,638.0,1353.0,715.0,891.0,1682.0,3178.0,1382.0,2021,
4,420,4200309,6784.0,298.0,419.0,135.0,630.0,1480.0,844.0,948.0,2030.0,3608.0,923.0,2021,
4,420,4200310,7618.0,322.0,515.0,184.0,748.0,1538.0,1023.0,1019.0,2269.0,4027.0,1536.0,2021,
4,420,4200311,7237.0,336.0,427.0,129.0,865.0,2057.0,832.0,1029.0,1562.0,3726.0,1709.0,2021,
4,430,4300412,3687.0,193.0,183.0,36.0,467.0,1278.0,356.0,368.0,806.0,1816.0,1417.0,2021,
4,430,4300413,10011.0,572.0,788.0,267.0,1136.0,2698.0,1373.0,1430.0,1747.0,5230.0,2480.0,2021,
4,430,4300414,10520.0,522.0,685.0,227.0,1064.0,2929.0,1376.0,1537.0,2180.0,5483.0,2255.0,2021,
4,430,4300415,6267.0,284.0,333.0,107.0,551.0,1578.0,739.0,936.0,1739.0,3358.0,1354.0,2021,
4,430,4300416,11650.0,561.0,714.0,245.0,1289.0,3320.0,1501.0,1730.0,2290.0,5920.0,2719.0,2021,
4,430,4300517,9436.0,461.0,528.0,148.0,1076.0,3007.0,1186.0,1445.0,1585.0,4798.0,2627.0,2021,
4,430,4300518,5717.0,290.0,346.0,113.0,630.0,1965.0,691.0,789.0,893.0,2839.0,1483.0,2021,
4,430,4300619,8583.0,413.0,490.0,161.0,826.0,2449.0,1080.0,1205.0,1959.0,4459.0,2164.0,2021,
4,430,4300620,3397.0,177.0,202.0,55.0,453.0,1361.0,414.0,377.0,358.0,1604.0,1234.0,2021,
4,430,4300621,10501.0,552.0,616.0,170.0,1030.0,3132.0,1343.0,1435.0,2223.0,5409.0,2851.0,2021,
4,430,4300622,5150.0,299.0,342.0,87.0,545.0,1748.0,583.0,602.0,944.0,2663.0,1663.0,2021,
4,430,4300623,11938.0,548.0,680.0,234.0,1522.0,3690.0,1541.0,1573.0,2150.0,5840.0,4127.0,2021,
4,430,4300624,9175.0,406.0,445.0,159.0,1026.0,2602.0,1213.0,1392.0,1932.0,4660.0,2569.0,2021,
