bez_id,bez_name,pgr_id,pgr_name,plr_id,plr_name,total,under_6,6-15,15-18,18-27,27-45,45-55,55-65,65_or_more,female,foreigner
3,Pankow,307,Südlicher Prenzlauer Berg,3071537,Kollwitzplatz,15902,1206.0,1385.0,369.0,1280.0,6192.0,2945.0,1524,1001,7842.0,3900
3,Pankow,307,Südlicher Prenzlauer Berg,3071633,Thälmannpark,3196,212.0,232.0,63.0,228.0,1044.0,376.0,420,621,1600.0,668
3,Pankow,307,Südlicher Prenzlauer Berg,3071638,Winsstraße,17710,1275.0,1609.0,378.0,1472.0,7192.0,3156.0,1430,1198,8850.0,3845
3,Pankow,307,Südlicher Prenzlauer Berg,3071639,Bötzowstraße,12868,879.0,1333.0,335.0,958.0,4632.0,2542.0,1195,994,6492.0,2225
4,Charlottenburg-Wilmersdorf,401,CW 1,4010101,Jungfernheide,10801,584.0,769.0,232.0,1144.0,2820.0,1434.0,1425,2393,5556.0,3088
4,Charlottenburg-Wilmersdorf,401,CW 1,4010102,Plötzensee,814,43.0,55.0,10.0,121.0,183.0,88.0,118,196,278.0,286
4,Charlottenburg-Wilmersdorf,401,CW 1,4010103,Paul-Hertz-Siedlung,7964,569.0,726.0,223.0,729.0,1894.0,1101.0,964,1758,4220.0,2219
4,Charlottenburg-Wilmersdorf,402,CW 2,4020204,Olympiagelände,189,6.0,32.0,15.0,16.0,27.0,39.0,15,39,94.0,39
4,Charlottenburg-Wilmersdorf,402,CW 2,4020205,Siedlung Ruhleben,1296,48.0,109.0,34.0,118.0,230.0,206.0,184,367,652.0,178
4,Charlottenburg-Wilmersdorf,402,CW 2,4020206,Angerburger Allee,2896,114.0,152.0,28.0,173.0,488.0,296.0,353,1292,1560.0,559
4,Charlottenburg-Wilmersdorf,402,CW 2,4020207,Flatowallee,2539,119.0,170.0,52.0,215.0,497.0,412.0,382,692,1307.0,483
4,Charlottenburg-Wilmersdorf,402,CW 2,4020208,Kranzallee,2978,107.0,294.0,106.0,277.0,423.0,494.0,470,807,1512.0,407
4,Charlottenburg-Wilmersdorf,402,CW 2,4020209,Eichkamp,3249,103.0,242.0,106.0,725.0,695.0,352.0,362,664,1635.0,1015
4,Charlottenburg-Wilmersdorf,402,CW 2,4020310,Park Ruhwald,811,70.0,64.0,17.0,217.0,234.0,50.0,59,100,398.0,462
4,Charlottenburg-Wilmersdorf,402,CW 2,4020311,Reichsstraße,15119,635.0,920.0,369.0,1428.0,3306.0,2038.0,1935,4488,7801.0,3101
4,Charlottenburg-Wilmersdorf,402,CW 2,4020312,Branitzer Platz,5547,261.0,400.0,124.0,462.0,1162.0,739.0,792,1607,2908.0,1110
4,Charlottenburg-Wilmersdorf,402,CW 2,4020313,Königin-Elisabeth-Straße,7249,380.0,377.0,102.0,888.0,2015.0,915.0,974,1598,3779.0,1683
4,Charlottenburg-Wilmersdorf,402,CW 2,4020314,Messegelände,9,,,,,,,6,3,,9
4,Charlottenburg-Wilmersdorf,403,CW 3,4030415,Schloßgarten,3346,137.0,128.0,50.0,510.0,1028.0,360.0,382,751,1637.0,1449
