bez_id,pgr_id,plr_id,total,under_6,6-15,15-18,18-27,27-45,45-55,55-65,65_or_more,female,foreigner
07,0750,07501032,5579.0,327,368,152,520,1305,719,831,1357,2883,884
07,0750,07501133,8012.0,407,551,189,832,1930,940,1038,2125,4207,1934
07,0750,07501134,10540.0,586,781,235,891,2043,1256,1479,3269,5550,1489
07,0750,07501135,2225.0,102,167,56,193,411,312,334,650,1113,261
07,0760,07601236,10226.0,669,1039,343,1080,2338,1207,1253,2297,5131,2526
07,0760,07601237,4766.0,231,380,154,391,897,691,755,1267,2375,558
07,0760,07601238,2868.0,152,290,65,266,529,313,352,901,1487,522
07,0760,07601339,5706.0,367,497,135,474,1233,632,695,1673,3091,912
07,0760,07601340,6384.0,377,557,185,578,1437,754,836,1660,3387,1148
07,0760,07601341,2247.0,124,160,54,191,438,284,366,630,1125,372
07,0760,07601442,10413.0,552,830,276,903,1965,1329,1618,2940,5416,1136
07,0760,07601443,10926.0,648,984,269,827,2121,1482,1725,2870,5684,1050
07,0760,07601544,8883.0,598,776,212,780,1937,1055,1155,2370,4598,1408
07,0760,07601545,8341.0,505,906,307,873,1680,946,1130,1994,4290,1937
07,0760,07601546,6907.0,373,528,205,592,1298,956,1205,1750,3533,607
07,0760,07601547,3832.0,269,332,99,285,697,483,570,1097,2007,469
07,0760,07601548,2893.0,152,266,69,220,452,414,457,863,1492,263
08,0810,08100101,4709.0,241,290,82,452,1987,571,598,488,2222,1826
08,0810,08100102,8237.0,423,509,149,784,3822,981,839,730,3995,2975
08,0810,08100103,7350.0,420,438,108,599,3492,867,770,656,3504,2383
08,0810,08100104,6592.0,367,455,149,657,2956,783,689,536,3051,2370
08,0810,08100105,5690.0,341,445,186,768,2185,545,434,786,2857,2179
08,0810,08100206,9570.0,464,622,220,921,4341,1088,967,947,4688,3677
08,0810,08100207,7465.0,447,761,274,862,2342,941,782,1056,3724,2578
08,0810,08100208,12172.0,712,888,253,1256,5360,1373,1212,1118,5923,4350
08,0810,08100209,8476.0,405,605,226,1117,3267,1011,868,977,4024,3378
08,0810,08100310,7771.0,409,577,183,618,3321,1165,827,671,3929,2439
08,0810,08100311,7267.0,366,426,106,590,3216,1035,850,678,3620,2291
08,0810,08100312,11824.0,701,754,186,975,5323,1525,1214,1146,5865,3967
08,0810,08100313,3832.0,209,238,60,340,1240,521,569,655,1925,860
08,0810,08100314,8070.0,373,586,196,862,3668,946,732,707,3868,3302
08,0810,08100415,6498.0,395,446,113,614,2961,665,654,650,3202,2219
08,0810,08100416,6480.0,397,485,133,611,2789,696,709,660,3160,2182
08,0810,08100417,9805.0,580,660,227,1044,4435,1114,949,796,4657,3531
08,0810,08100418,9508.0,537,590,181,886,4224,1126,908,1056,4783,2908
08,0810,08100419,7153.0,530,685,190,710,2776,776,714,772,3534,2957
08,0810,08100520,5836.0,542,739,198,738,1584,665,657,713,2857,2213
08,0810,08100521,9547.0,641,1277,367,1122,2414,1240,1112,1374,4707,2876
08,0820,08200622,5645.0,444,579,190,731,1962,655,560,524,2626,2546
08,0820,08200623,6016.0,432,538,136,574,1601,727,841,1167,2962,1498
08,0820,08200624,8762.0,500,656,163,921,2555,1018,1235,1714,4524,2159
08,0820,08200725,2462.0,101,215,73,227,481,355,457,553,1206,312
08,0820,08200726,6172.0,356,552,167,500,1459,829,906,1403,3178,833
08,0820,08200727,7921.0,406,490,127,691,2036,913,1309,1949,4238,1118
08,0820,08200728,1211.0,60,60,24,108,221,151,218,369,662,179
08,0820,08200729,1854.0,112,205,61,150,392,290,284,360,913,256
08,0820,08200730,3381.0,103,260,90,354,661,462,547,904,1620,593
08,0820,08200831,8319.0,466,595,157,680,1786,1111,1363,2161,4268,1068
08,0820,08200832,11614.0,656,964,305,1023,2300,1414,1732,3220,6083,1676
08,0820,08200833,8652.0,493,843,257,919,2005,1084,1091,1960,4277,2089
08,0830,08300934,12550.0,907,1076,350,1189,2804,1347,1553,3324,6644,2740
08,0830,08300935,7336.0,381,454,129,595,1570,802,982,2423,3889,1382
08,0830,08301036,7141.0,487,606,241,635,1596,768,897,1911,3779,1485
